AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.22,0.0,0.0,0.65,0.0,0.72,0.0,0.08,0.0,0.0,1.41,0.51,0.21,0.0,0.69,0.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.02,0.0,0.0,0.31,0.0,0.62,0.0,0.0,0.0,0.0,1.63,0.42,0.58,0.0,0.7,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.64,0.0,0.0,0.71,0.0,0.21,0.0,0.0,0.0,0.0,1.55,0.62,0.9,0.0,0.66,0.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.22,0.0,0.0,0.53,0.0,0.97,0.0,0.02,0.0,0.0,1.3,0.73,0.45,0.09,0.57,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.35,0.0,0.0,0.6,0.0,0.86,0.0,0.0,0.0,0.0,1.45,0.83,0.46,0.0,0.78,0.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.33,0.0,0.0,0.62,0.0,1.04,0.0,0.0,0.0,0.0,1.48,0.59,0.4,0.13,0.5,0.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.23,0.0,0.0,0.28,0.0,1.0,0.0,0.0,0.0,0.0,1.39,0.67,0.49,0.0,0.6,0.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.2,0.0,0.0,0.63,0.0,0.72,0.0,0.0,0.0,0.0,1.57,0.76,0.77,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.19,0.0,0.0,0.13,0.0,0.6,0.0,0.0,0.0,0.0,1.56,0.8,0.82,0.0,0.62,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.13,0.0,0.0,0.94,0.0,0.7,0.0,0.04,0.0,0.0,1.99,0.73,1.26,0.0,0.88,0.0,0.32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.15,0.0,0.0,0.17,0.0,0.43,0.0,0.02,0.0,0.0,1.77,0.7,1.14,0.0,0.97,0.0,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.12,0.0,0.38,0.0,0.0,0.0,0.0,1.79,0.87,1.23,0.0,0.74,0.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.4,0.0,0.0,0.37,0.0,0.73,0.0,0.0,0.0,0.0,1.72,0.33,1.23,0.0,0.89,0.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.56,0.0,0.8,0.0,0.0,0.0,0.0,1.82,0.76,0.76,0.0,0.86,0.0,0.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.42,0.0,0.97,0.0,0.0,0.0,0.12,1.36,0.0,0.65,0.0,0.41,0.0,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.11,0.46,0.0,1.13,0.0,0.0,0.0,0.07,1.43,0.0,0.84,0.0,0.42,0.0,0.65,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.0,0.13,0.68,0.0,1.08,0.0,0.0,0.0,0.13,1.5,0.0,0.83,0.0,0.51,0.0,0.58,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
