AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.8,0.0,0.44,0.51,0.0,1.06,0.0,0.67,0.0,0.0,1.03,0.25,0.41,0.0,0.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.59,0.0,0.25,0.39,0.0,0.79,0.0,0.87,0.0,0.0,1.02,0.15,0.15,0.03,0.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.76,0.0,0.32,0.47,0.0,0.38,0.0,0.56,0.0,0.0,0.93,0.43,0.05,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.44,0.0,0.0,0.26,0.0,0.53,0.0,0.58,0.0,0.0,0.89,0.53,0.59,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.82,0.16,0.05,0.51,0.0,0.37,0.0,0.52,0.0,0.0,1.24,0.52,0.46,0.04,0.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.55,0.0,0.28,0.39,0.0,0.8,0.0,0.39,0.0,0.0,1.15,0.46,0.18,0.0,0.76,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3,0.0,0.05,0.48,0.0,0.81,0.0,0.47,0.0,0.0,0.91,0.45,0.44,0.0,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.39,0.0,0.29,0.71,0.0,1.19,0.0,0.35,0.0,0.0,0.92,0.24,0.24,0.0,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.55,0.0,0.04,0.66,0.0,0.93,0.0,0.44,0.0,0.0,1.16,0.39,0.23,0.0,0.82,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.35,0.0,0.0,0.49,0.0,0.94,0.0,0.27,0.0,0.0,1.03,0.23,0.43,0.0,0.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.4,0.77,0.0,1.17,0.0,0.46,0.0,0.0,1.17,0.97,0.29,0.33,0.84,0.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.93,0.0,0.33,1.0,0.0,0.88,0.0,0.56,0.0,0.0,1.02,0.56,0.42,0.0,0.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.94,0.0,0.26,0.62,0.0,1.1,0.0,0.56,0.0,0.0,1.13,0.46,0.43,0.13,0.87,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.91,0.0,0.0,0.11,0.0,0.88,0.0,0.74,0.0,0.0,1.25,0.73,0.47,0.25,0.69,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.81,0.79,0.0,1.05,0.0,0.0,0.0,0.0,1.55,0.54,0.9,0.0,0.92,0.0,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.82,0.9,0.0,0.93,0.0,0.0,0.0,0.0,1.44,0.53,0.88,0.0,1.06,0.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.07,0.0,0.34,1.38,0.0,0.6,0.0,0.0,0.0,0.0,1.35,0.4,0.67,0.0,0.87,0.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.61,0.92,0.0,0.17,0.0,0.0,0.0,0.0,1.53,0.75,0.77,0.0,0.74,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.51,0.96,0.0,0.5,0.0,0.05,0.0,0.0,1.55,0.56,0.71,0.0,0.93,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.61,0.68,0.0,0.73,0.0,0.0,0.0,0.0,1.67,0.7,1.08,0.0,0.96,0.15,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.5,1.16,0.0,1.22,0.0,0.0,0.0,0.0,1.32,0.3,1.25,0.0,1.03,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.11,0.0,0.57,0.66,0.0,0.25,0.0,0.0,0.0,0.0,1.27,0.19,0.85,0.0,0.98,0.02,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.58,1.07,0.0,1.19,0.0,0.0,0.0,0.0,2.05,0.74,1.14,0.0,0.34,0.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.73,0.11,2.38,0.0,0.28,0.2,0.0,2.1,0.51,1.27,0.0,1.25,0.15,0.48,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.54,0.43,0.0,1.21,0.0,0.0,0.0,0.04,2.19,0.67,1.31,0.12,0.44,0.0,0.76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
